time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2018-11-02 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-02 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-02 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-02 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-02 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-02 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.83,6.11,0.0,0.0
2018-11-02 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-02 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.56,0.0,0.0
2018-11-02 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.56,0.0,0.0
2018-11-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.56,0.0,0.0
2018-11-02 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.56,0.0,0.0
2018-11-02 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-02 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-02 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-02 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-02 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-02 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-02 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-03 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-03 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-03 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,6.11,0.0,0.0
2018-11-03 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,6.11,0.0,0.0
2018-11-03 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,5.68,0.0,0.0
2018-11-03 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,5.68,0.0,0.0
2018-11-03 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,5.68,0.0,0.0
2018-11-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-03 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-03 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-03 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-03 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.8,4.88,0.0,0.0
2018-11-03 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.8,4.88,0.0,0.0
2018-11-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.8,4.88,0.0,0.0
2018-11-03 04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.72,1.8,4.88,0.0,0.0
2018-11-03 04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.72,1.8,5.27,0.0,0.0
2018-11-03 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.72,1.8,4.88,0.0,0.0
2018-11-03 04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.72,1.8,4.88,0.0,0.0
2018-11-03 04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.58,1.8,4.5,0.0,0.0
2018-11-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.58,1.79,4.5,0.0,0.0
2018-11-03 05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.58,1.79,4.5,0.0,0.0
2018-11-03 05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.58,1.79,4.5,0.0,0.0
2018-11-03 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.58,1.79,4.5,0.0,0.0
2018-11-03 05:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.79,4.5,0.0,0.0
2018-11-03 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.78,4.5,0.0,0.0
2018-11-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.79,4.5,0.0,0.0
2018-11-03 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.79,4.5,0.0,0.0
2018-11-03 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.78,4.13,0.0,0.0
2018-11-03 06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.78,4.13,0.0,0.0
2018-11-03 06:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.78,4.13,0.0,0.0
2018-11-03 06:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.78,4.13,0.0,0.0
2018-11-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.78,4.13,0.0,0.0
2018-11-03 07:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.78,4.13,0.0,0.0
2018-11-03 07:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.78,4.13,0.0,0.0
2018-11-03 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.78,4.13,0.0,0.0
2018-11-03 07:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.78,4.5,0.0,0.0
2018-11-03 07:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.78,4.13,0.0,0.0
2018-11-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.78,4.13,0.0,0.0
2018-11-03 08:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.78,4.13,0.0,0.0
2018-11-03 08:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.78,4.13,0.0,0.0
2018-11-03 08:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.78,4.13,0.0,0.0
2018-11-03 08:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.78,4.5,0.0,0.0
2018-11-03 08:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.78,4.88,0.0,0.0
2018-11-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.79,4.88,0.0,0.0
2018-11-03 09:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.79,4.88,0.0,0.0
2018-11-03 09:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.79,4.88,0.0,0.0
2018-11-03 09:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.8,5.27,0.0,0.0
2018-11-03 09:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.8,5.27,0.0,0.0
2018-11-03 09:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.81,5.68,0.0,0.0
2018-11-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.81,5.68,0.0,0.0
2018-11-03 10:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.81,5.68,0.0,0.0
2018-11-03 10:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.82,5.68,0.0,0.0
2018-11-03 10:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.82,6.11,0.0,0.0
2018-11-03 10:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.82,6.11,0.0,0.0
2018-11-03 10:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.83,6.11,0.0,0.0
2018-11-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.83,6.11,0.0,0.0
2018-11-03 11:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.83,6.56,0.0,0.0
2018-11-03 11:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.83,6.56,0.0,0.0
2018-11-03 11:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.83,6.56,0.0,0.0
2018-11-03 11:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.98,1.83,6.56,0.0,0.0
2018-11-03 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.08,1.83,6.56,0.0,0.0
2018-11-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.83,6.56,0.0,0.0
2018-11-03 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.2,1.83,6.56,0.0,0.0
2018-11-03 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.32,1.83,6.56,0.0,0.0
2018-11-03 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,1.44,1.83,6.56,0.0,0.0
2018-11-03 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.58,1.83,6.56,0.0,0.0
2018-11-03 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.72,1.84,6.56,0.0,0.0
2018-11-03 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.72,1.83,6.56,0.0,0.0
2018-11-03 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.56,0.0,0.0
2018-11-03 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.56,0.0,0.0
2018-11-03 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.83,6.56,0.0,0.0
2018-11-03 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.83,6.56,0.0,0.0
2018-11-03 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.84,6.11,0.0,0.0
2018-11-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.83,6.11,0.0,0.0
2018-11-03 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.83,6.11,0.0,0.0
2018-11-03 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.83,6.11,0.0,0.0
2018-11-03 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.99,2.17,1.82,5.68,0.0,0.0
2018-11-03 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-03 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-03 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-03 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-03 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,5.68,0.0,0.0
2018-11-03 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-03 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-03 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.82,6.11,0.0,0.0
2018-11-03 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.98,2.01,1.83,6.11,0.0,0.0
2018-11-03 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-03 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.85,7.02,0.0,0.0
2018-11-03 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,7.02,0.0,0.0
2018-11-04 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-04 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-04 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.84,6.56,0.0,0.0
2018-11-04 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.83,6.11,0.0,0.0
2018-11-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,6.11,0.0,0.0
2018-11-04 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,6.11,0.0,0.0
2018-11-04 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,5.68,0.0,0.0
2018-11-04 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,5.68,0.0,0.0
2018-11-04 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.82,5.27,0.0,0.0
2018-11-04 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-04 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-04 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.81,5.27,0.0,0.0
2018-11-04 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.8,4.88,0.0,0.0
2018-11-04 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.8,4.88,0.0,0.0
2018-11-04 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.86,1.8,4.88,0.0,0.0
